hs6,io185_name,io52_idx,io52_name
950890,OthIndustPrd,27,OtherMan
960110,OthIndustPrd,27,OtherMan
960190,OthIndustPrd,27,OtherMan
960200,OthIndustPrd,27,OtherMan
960310,OthIndustPrd,27,OtherMan
960321,OthIndustPrd,27,OtherMan
960329,OthIndustPrd,27,OtherMan
960330,OthIndustPrd,27,OtherMan
960340,OthIndustPrd,27,OtherMan
960350,OthIndustPrd,27,OtherMan
960390,OthIndustPrd,27,OtherMan
960400,OthIndustPrd,27,OtherMan
960500,LeatherPrd,15,Leather
960610,OthMetalPrd,23,MetalProd
960621,OthMetalPrd,23,MetalProd
960622,OthMetalPrd,23,MetalProd
960629,OthMetalPrd,23,MetalProd
960630,OthMetalPrd,23,MetalProd
960711,OthMetalPrd,23,MetalProd
960719,OthMetalPrd,23,MetalProd
960720,OthMetalPrd,23,MetalProd
960810,OthNMmetlPrd,18,NonMetalProd
960820,OthNMmetlPrd,18,NonMetalProd
960830,OthNMmetlPrd,18,NonMetalProd
960840,OthNMmetlPrd,18,NonMetalProd
960850,OthNMmetlPrd,18,NonMetalProd
960860,OthNMmetlPrd,18,NonMetalProd
960891,OthNMmetlPrd,18,NonMetalProd
960899,OthNMmetlPrd,18,NonMetalProd
960910,OthNMmetlPrd,18,NonMetalProd
960920,OthNMmetlPrd,18,NonMetalProd
960990,OthNMmetlPrd,18,NonMetalProd
961000,OthNMmetlPrd,18,NonMetalProd
961100,OthNMmetlPrd,18,NonMetalProd
961210,OthIndustPrd,27,OtherMan
961220,OthIndustPrd,27,OtherMan
961310,OthIndustPrd,27,OtherMan
961380,OthIndustPrd,27,OtherMan
961390,OthIndustPrd,27,OtherMan
961400,OthIndustPrd,27,OtherMan
961511,OthIndustPrd,27,OtherMan
961519,OthIndustPrd,27,OtherMan
961590,OthIndustPrd,27,OtherMan
961610,OthIndustPrd,27,OtherMan
961620,OthIndustPrd,27,OtherMan
961700,OthIndustPrd,27,OtherMan
961800,OthIndustPrd,27,OtherMan
961900,OthTextilPrd,14,Textiles
970110,OthIndustPrd,27,OtherMan
970190,OthIndustPrd,27,OtherMan
970200,OthIndustPrd,27,OtherMan
970300,OthIndustPrd,27,OtherMan
970400,Postal,39,TranspSvc
970500,OthGovSvc,49,GovAdmin
980230,MotorVehicle,25,TranspEquip
980300,MotorVehicle,25,TranspEquip
999910,PrintedPrd,17,PaperProd
