country,year,ngdp_rpch
AUT,1980,2.3
AUT,1981,-0.1
AUT,1982,1.9
AUT,1983,2.8
AUT,1984,0.3
AUT,1985,2.2
AUT,1986,2.3
AUT,1987,1.7
AUT,1988,1.0
AUT,1989,3.9
AUT,1990,4.3
AUT,1991,3.4
AUT,1992,2.1
AUT,1993,0.5
AUT,1994,2.4
AUT,1995,2.7
AUT,1996,2.4
AUT,1997,2.1
AUT,1998,3.5
AUT,1999,3.8
AUT,2000,3.2
AUT,2001,1.3
AUT,2002,1.5
AUT,2003,1.1
AUT,2004,2.6
AUT,2005,2.3
AUT,2006,3.3
AUT,2007,3.8
AUT,2008,1.5
AUT,2009,-3.6
AUT,2010,1.8
AUT,2011,2.9
AUT,2012,0.6
AUT,2013,-0.3
AUT,2014,0.8
AUT,2015,1.3
AUT,2016,2.1
AUT,2017,2.3
AUT,2018,2.5
AUT,2019,1.8
AUT,2020,-6.3
AUT,2021,4.9
AUT,2022,5.3
AUT,2023,-0.8
AUT,2024,-0.7
AUT,2025,0.6
AUT,2026,0.7
AUT,2027,1.0
AUT,2028,1.3
AUT,2029,1.1
AUT,2030,0.8
AUT,2031,0.8
AZE,1993,-23.1
AZE,1994,-19.7
AZE,1995,-13.0
AZE,1996,2.5
AZE,1997,8.9
AZE,1998,6.0
AZE,1999,11.4
AZE,2000,6.2
AZE,2001,9.9
AZE,2002,9.4
AZE,2003,10.2
AZE,2004,9.3
AZE,2005,26.4
AZE,2006,34.5
AZE,2007,25.0
AZE,2008,10.8
AZE,2009,9.3
AZE,2010,5.0
AZE,2011,0.1
AZE,2012,2.2
AZE,2013,5.8
AZE,2014,2.8
AZE,2015,1.1
AZE,2016,-3.1
AZE,2017,0.2
AZE,2018,1.5
AZE,2019,2.5
AZE,2020,-4.2
AZE,2021,5.6
AZE,2022,4.7
AZE,2023,1.4
AZE,2024,4.2
AZE,2025,1.4
AZE,2026,2.2
AZE,2027,2.5
AZE,2028,2.5
AZE,2029,2.5
AZE,2030,2.5
AZE,2031,2.5
AZQ,1980,2.6
AZQ,1981,3.9
AZQ,1982,0.5
AZQ,1983,-0.4
AZQ,1984,6.4
AZQ,1985,4.8
AZQ,1986,2.3
AZQ,1987,4.5
AZQ,1988,3.7
AZQ,1989,4.0
AZQ,1990,1.3
AZQ,1991,-1.0
AZQ,1992,2.3
AZQ,1993,4.1
AZQ,1994,5.0
AZQ,1995,3.3
AZQ,1996,4.0
AZQ,1997,4.4
AZQ,1998,4.1
AZQ,1999,4.4
AZQ,2000,3.3
AZQ,2001,2.6
AZQ,2002,4.2
AZQ,2003,3.2
AZQ,2004,4.2
AZQ,2005,3.1
AZQ,2006,2.7
AZQ,2007,4.2
AZQ,2008,2.3
AZQ,2009,1.6
AZQ,2010,2.3
AZQ,2011,2.6
AZQ,2012,3.7
AZQ,2013,2.2
AZQ,2014,2.7
AZQ,2015,2.5
