sector_52,sector_name,country_iso,country_name,export_usd,sector_total,w_kc
4,Livestock,DEU,Germany,227317.069,42140263.111,0.0053942963858871
4,Livestock,DNK,Denmark,769.89,42140263.111,1.8269700831531667e-05
4,Livestock,EGY,Egypt,768.91,42140263.111,1.8246445162780412e-05
4,Livestock,ESP,Spain,36730.401,42140263.111,0.0008716224885271
4,Livestock,FIN,Finland,120.93,42140263.111,2.8697020633559662e-06
4,Livestock,FRA,France,400781.044,42140263.111,0.0095106440826987
4,Livestock,GBR,United Kingdom,130892.375,42140263.111,0.0031061119541475
4,Livestock,GEO,Georgia,271.28,42140263.111,6.437548794734197e-06
4,Livestock,GHA,Ghana,100.0,42140263.111,2.3730274235970943e-06
4,Livestock,GRC,Greece,2249.065,42140263.111,5.337092922452399e-05
4,Livestock,HKG,"China, Hong Kong SAR",643707.741,42140263.111,0.0152753612217473
4,Livestock,HRV,Croatia,844.43,42140263.111,2.003855547308094e-05
4,Livestock,HUN,Hungary,5582.593,42140263.111,0.0001324764628378
4,Livestock,IND,India,1850.324,42140263.111,4.3908695945398695e-05
4,Livestock,IRL,Ireland,933.101,42140263.111,2.214274261985872e-05
4,Livestock,IRN,Iran,1715.75,42140263.111,4.071521802036714e-05
4,Livestock,IRQ,Iraq,3828.27,42140263.111,9.084589694934049e-05
4,Livestock,ISL,Iceland,521.64,42140263.111,1.237866025245188e-05
4,Livestock,ITA,Italy,25567.87,42140263.111,0.0006067325667296
4,Livestock,JOR,Jordan,1249.425,42140263.111,2.9649197887277992e-05
4,Livestock,JPN,Japan,475671.879,42140263.111,0.0112878241350095
4,Livestock,KAZ,Kazakhstan,7959.886,42140263.111,0.000188890277667
4,Livestock,KEN,Kenya,488.0,42140263.111,1.158037382715382e-05
4,Livestock,KHM,Cambodia,177.0,42140263.111,4.200258539766857e-06
4,Livestock,KOR,Rep. of Korea,146367.28,42140263.111,0.0034733356935731
4,Livestock,KWT,Kuwait,12664.673,42140263.111,0.0003005361633988
4,Livestock,LBN,Lebanon,111480.559,42140263.111,0.0026454642370493
4,Livestock,LBY,Libya,492078.6,42140263.111,0.0116771601236526
4,Livestock,LUX,Luxembourg,847.803,42140263.111,2.0118597688078872e-05
4,Livestock,MAR,Morocco,670.0,42140263.111,1.589928373810053e-05
4,Livestock,MDV,Maldives,40395.740000000005,42140263.111,0.0009586019881649
4,Livestock,MEX,Mexico,141.0,42140263.111,3.345968667271903e-06
4,Livestock,MKD,North Macedonia,127.13,42140263.111,3.0168297636189856e-06
4,Livestock,MLT,Malta,685.676,42140263.111,1.6271279517023612e-05
4,Livestock,MMR,Myanmar,582614.603,42140263.111,0.0138256043030713
4,Livestock,MUS,Mauritius,575.0,42140263.111,1.364490768568329e-05
4,Livestock,MYS,Malaysia,322702.531,42140263.111,0.0076578195572719
4,Livestock,NGA,Nigeria,887.5,42140263.111,2.106061838442421e-05
4,Livestock,NLD,Netherlands,30667.602,42140263.111,0.0007277506056196
4,Livestock,NPL,Nepal,50.0,42140263.111,1.1865137117985472e-06
4,Livestock,OMN,Oman,23.76,42140263.111,5.638313158466696e-07
4,Livestock,PAK,Pakistan,9852.13,42140263.111,0.0002337937467084
4,Livestock,PAN,Panama,1330.0,42140263.111,3.156126473384135e-05
4,Livestock,PER,Peru,3184.66,42140263.111,7.557285514832722e-05
