id,id_label,sector_52,emp
2100,KEPULAUAN RIAU,19,311
2100,KEPULAUAN RIAU,20,8116
2100,KEPULAUAN RIAU,21,9478
2100,KEPULAUAN RIAU,22,8303
2100,KEPULAUAN RIAU,23,54891
2100,KEPULAUAN RIAU,24,11316
2100,KEPULAUAN RIAU,25,62594
2100,KEPULAUAN RIAU,26,3788
2100,KEPULAUAN RIAU,27,24731
2100,KEPULAUAN RIAU,28,4866
2100,KEPULAUAN RIAU,29,498
2100,KEPULAUAN RIAU,30,5953
2100,KEPULAUAN RIAU,31,71437
2100,KEPULAUAN RIAU,32,2102
2100,KEPULAUAN RIAU,33,169574
2100,KEPULAUAN RIAU,35,27528
2100,KEPULAUAN RIAU,36,5856
2100,KEPULAUAN RIAU,37,5242
2100,KEPULAUAN RIAU,38,471
2100,KEPULAUAN RIAU,39,31122
2100,KEPULAUAN RIAU,40,19848
2100,KEPULAUAN RIAU,41,93664
2100,KEPULAUAN RIAU,42,6823
2100,KEPULAUAN RIAU,43,8688
2100,KEPULAUAN RIAU,44,1152
2100,KEPULAUAN RIAU,46,3283
2100,KEPULAUAN RIAU,47,5145
2100,KEPULAUAN RIAU,48,33266
2100,KEPULAUAN RIAU,49,53544
2100,KEPULAUAN RIAU,50,69753
2100,KEPULAUAN RIAU,51,20212
3100,DKI JAKARTA,1,1202
3100,DKI JAKARTA,2,25
3100,DKI JAKARTA,3,3407
3100,DKI JAKARTA,4,4757
3100,DKI JAKARTA,5,89708
3100,DKI JAKARTA,7,15409
3100,DKI JAKARTA,8,1117
3100,DKI JAKARTA,9,1846
3100,DKI JAKARTA,10,6159
3100,DKI JAKARTA,11,3926
3100,DKI JAKARTA,12,141910
3100,DKI JAKARTA,13,448
3100,DKI JAKARTA,14,139956
3100,DKI JAKARTA,15,11043
3100,DKI JAKARTA,16,3037
3100,DKI JAKARTA,17,50677
3100,DKI JAKARTA,18,4565
3100,DKI JAKARTA,19,630
3100,DKI JAKARTA,20,47238
3100,DKI JAKARTA,21,39940
3100,DKI JAKARTA,22,12946
3100,DKI JAKARTA,23,53990
3100,DKI JAKARTA,24,26433
3100,DKI JAKARTA,25,29807
3100,DKI JAKARTA,26,12906
3100,DKI JAKARTA,27,48366
3100,DKI JAKARTA,28,5358
3100,DKI JAKARTA,29,1940
3100,DKI JAKARTA,30,24883
3100,DKI JAKARTA,31,219273
3100,DKI JAKARTA,32,32594
3100,DKI JAKARTA,33,1172817
3100,DKI JAKARTA,34,656
3100,DKI JAKARTA,35,361043
3100,DKI JAKARTA,36,10656
3100,DKI JAKARTA,37,4161
3100,DKI JAKARTA,38,3306
3100,DKI JAKARTA,39,228301
3100,DKI JAKARTA,40,62237
3100,DKI JAKARTA,41,586892
3100,DKI JAKARTA,42,95804
3100,DKI JAKARTA,43,95117
3100,DKI JAKARTA,44,25171
3100,DKI JAKARTA,46,46153
3100,DKI JAKARTA,47,142610
3100,DKI JAKARTA,48,237611
3100,DKI JAKARTA,49,234392
3100,DKI JAKARTA,50,266855
3100,DKI JAKARTA,51,129466
3200,JAWA BARAT,1,2537240
3200,JAWA BARAT,2,339616
3200,JAWA BARAT,3,142494
3200,JAWA BARAT,4,471677
3200,JAWA BARAT,5,500041
3200,JAWA BARAT,6,67539
3200,JAWA BARAT,7,110773
3200,JAWA BARAT,8,3770
3200,JAWA BARAT,9,50023
3200,JAWA BARAT,10,161128
3200,JAWA BARAT,11,4745
3200,JAWA BARAT,12,1184237
3200,JAWA BARAT,13,14780
3200,JAWA BARAT,14,1386767
3200,JAWA BARAT,15,343498
3200,JAWA BARAT,16,140598
3200,JAWA BARAT,17,151244
3200,JAWA BARAT,18,128932
3200,JAWA BARAT,19,8948
3200,JAWA BARAT,20,181987
3200,JAWA BARAT,21,137560
3200,JAWA BARAT,22,33994
3200,JAWA BARAT,23,262279
3200,JAWA BARAT,24,136892
3200,JAWA BARAT,25,231158
3200,JAWA BARAT,26,147255
3200,JAWA BARAT,27,253150
3200,JAWA BARAT,28,36997
3200,JAWA BARAT,29,4784
3200,JAWA BARAT,30,105880
3200,JAWA BARAT,31,1766945
3200,JAWA BARAT,32,41060
3200,JAWA BARAT,33,5468910
3200,JAWA BARAT,34,7766
3200,JAWA BARAT,35,842851
3200,JAWA BARAT,36,12795
3200,JAWA BARAT,37,8716
3200,JAWA BARAT,38,4425
3200,JAWA BARAT,39,377757
3200,JAWA BARAT,40,140359
3200,JAWA BARAT,41,2252038
3200,JAWA BARAT,42,197789
3200,JAWA BARAT,43,221450
3200,JAWA BARAT,44,31542
3200,JAWA BARAT,45,1650
3200,JAWA BARAT,46,73843
3200,JAWA BARAT,47,156267
3200,JAWA BARAT,48,544928
3200,JAWA BARAT,49,504490
3200,JAWA BARAT,50,1127519
3200,JAWA BARAT,51,384456
3200,JAWA BARAT,52,192
3300,JAWA TENGAH,1,2897863
3300,JAWA TENGAH,2,519985
3300,JAWA TENGAH,3,515521
3300,JAWA TENGAH,4,1091681
3300,JAWA TENGAH,5,369838
3300,JAWA TENGAH,6,116662
3300,JAWA TENGAH,7,200564
3300,JAWA TENGAH,8,2344
3300,JAWA TENGAH,9,8820
3300,JAWA TENGAH,10,162725
3300,JAWA TENGAH,11,21770
3300,JAWA TENGAH,12,1084016
3300,JAWA TENGAH,13,195942
3300,JAWA TENGAH,14,1325025
3300,JAWA TENGAH,15,237839
3300,JAWA TENGAH,16,334582
3300,JAWA TENGAH,17,98934
3300,JAWA TENGAH,18,55851
3300,JAWA TENGAH,19,4618
3300,JAWA TENGAH,20,107058
3300,JAWA TENGAH,21,104715
3300,JAWA TENGAH,22,12924
3300,JAWA TENGAH,23,175713
3300,JAWA TENGAH,24,40443
3300,JAWA TENGAH,25,25977
3300,JAWA TENGAH,26,287399
3300,JAWA TENGAH,27,274379
3300,JAWA TENGAH,28,20821
3300,JAWA TENGAH,29,8505
3300,JAWA TENGAH,30,87759
3300,JAWA TENGAH,31,1711744
3300,JAWA TENGAH,32,26247
3300,JAWA TENGAH,33,3723152
3300,JAWA TENGAH,34,3569
3300,JAWA TENGAH,35,430575
3300,JAWA TENGAH,36,7379
3300,JAWA TENGAH,37,6938
3300,JAWA TENGAH,38,561
3300,JAWA TENGAH,39,203100
3300,JAWA TENGAH,40,73438
3300,JAWA TENGAH,41,1642667
3300,JAWA TENGAH,42,109347
3300,JAWA TENGAH,43,196266
3300,JAWA TENGAH,44,7195
3300,JAWA TENGAH,45,1261
3300,JAWA TENGAH,46,41384
3300,JAWA TENGAH,47,28606
3300,JAWA TENGAH,48,269112
3300,JAWA TENGAH,49,366047
3300,JAWA TENGAH,50,787115
3300,JAWA TENGAH,51,251824
3300,JAWA TENGAH,52,2433
3400,DI YOGYAKARTA,1,174812
3400,DI YOGYAKARTA,2,57171
3400,DI YOGYAKARTA,3,7661
3400,DI YOGYAKARTA,4,169295
3400,DI YOGYAKARTA,5,15383
3400,DI YOGYAKARTA,6,9111
3400,DI YOGYAKARTA,7,7407
3400,DI YOGYAKARTA,9,893
3400,DI YOGYAKARTA,10,11934
3400,DI YOGYAKARTA,12,119500
3400,DI YOGYAKARTA,13,4837
3400,DI YOGYAKARTA,14,99156
3400,DI YOGYAKARTA,15,4255
3400,DI YOGYAKARTA,16,36872
3400,DI YOGYAKARTA,17,14094
3400,DI YOGYAKARTA,18,11977
3400,DI YOGYAKARTA,20,9995
3400,DI YOGYAKARTA,21,5330
3400,DI YOGYAKARTA,23,17489
3400,DI YOGYAKARTA,24,4072
3400,DI YOGYAKARTA,25,281
3400,DI YOGYAKARTA,26,20071
3400,DI YOGYAKARTA,27,29611
3400,DI YOGYAKARTA,28,2876
3400,DI YOGYAKARTA,29,391
3400,DI YOGYAKARTA,30,8335
3400,DI YOGYAKARTA,31,134578
3400,DI YOGYAKARTA,32,4227
3400,DI YOGYAKARTA,33,426416
3400,DI YOGYAKARTA,34,2231
3400,DI YOGYAKARTA,35,50951
3400,DI YOGYAKARTA,36,494
3400,DI YOGYAKARTA,37,372
3400,DI YOGYAKARTA,38,270
3400,DI YOGYAKARTA,39,31763
